,ml_fav,ml_dog,spread
0,-110.0,-110.0,0.0
1,-181.0,416.0,1.0
2,-324.0,589.0,1.5
3,-475.0,1153.0,2.0
4,-378.0,412.0,2.5
5,-276.0,696.0,3.0
6,-253.0,1558.0,3.5
7,-252.0,447.0,4.0
8,-309.0,393.0,4.5
9,-398.0,415.0,5.0
10,-405.0,991.0,5.5
11,-525.0,786.0,6.0
12,-398.0,667.0,6.5
13,-471.0,1887.0,7.0
14,-368.0,978.0,7.5
15,-435.0,358.0,8.0
16,-370.0,1141.0,8.5
17,-311.0,423.0,9.0
18,-379.0,438.0,9.5
19,-521.0,472.0,10.0
20,-421.0,439.0,10.5
21,-377.0,748.0,11.0
22,-495.0,393.0,11.5
23,-412.0,431.0,12.0
24,-628.0,429.0,12.5
25,-462.0,578.0,13.0
26,-448.0,1511.0,13.5
27,-481.0,508.0,14.0
28,-731.0,496.0,14.5
29,-540.0,502.0,15.0
30,-608.0,475.0,15.5
31,-586.0,833.0,16.0
32,-1719.0,540.0,16.5
33,-620.0,635.0,17.0
34,-678.0,564.0,17.5
35,-814.0,666.0,18.0
36,-645.0,748.0,18.5
37,-726.0,1305.0,19.0
38,-1124.0,1319.0,19.5
39,-888.0,627.0,20.0
40,-1000.0,787.0,20.5
41,-855.0,705.0,21.0
42,-1153.0,1058.0,21.5
43,-771.0,864.0,22.0
44,-395.0,922.0,22.5
45,-566.0,1061.0,23.0
46,-1361.0,1017.0,23.5
47,-1008.0,1114.0,24.0
48,-1142.0,1202.0,24.5
49,-1559.0,1210.0,25.0
50,-1662.0,888.0,25.5
51,-768.0,3288.0,26.0
52,-1589.0,1173.0,26.5
53,-917.0,1495.0,27.0
54,-3594.0,1418.0,27.5
55,-1864.0,2040.0,28.0
56,-1528.0,2233.0,28.5
57,-4525.0,1705.0,29.0
58,-2493.0,3011.0,29.5
59,-2039.0,2623.0,30.0
60,-4873.0,2849.0,30.5
61,-238.0,2932.0,31.0
62,-2724.0,4869.0,31.5
63,-3513.0,4000.0,32.0
64,-12038.0,3200.0,32.5
65,-4588.0,4850.0,33.0
66,-725.0,6250.0,33.5
67,-6605.0,6538.0,34.0
68,-3562.0,6212.0,34.5
69,-1167.0,6667.0,35.0
70,-308.0,8100.0,35.5
71,-103.0,7500.0,36.5
72,-151.0,8258.0,37.0
73,-8718.0,12820.0,37.5
74,-575.0,19500.0,38.0
75,-15095.0,2075.0,38.5
76,-170.0,16000.0,39.0
77,-740.0,22425.0,39.5
78,-110.0,25000.0,41.5
79,-370.0,35000.0,42.5
80,-475.0,45500.0,44.0
81,-54000.0,319.0,44.5
82,-18000.0,30000.0,45.0
83,-110.0,50000.0,47.0
84,-103.0,50000.0,47.5
85,-485.0,36652.0,48.5
86,-1600.0,7000.0,50.0
87,-600000.0,140.0,52.0
